auction_id,experiment,date,hour,device_make,platform_os,browser,response
eb941471-f485-4516-b4d3-648e7838d53a,control,<built-in method date of Timestamp object at 0x7fc33927b570>,15,Apple,101,15,1
622af8e2-7bcf-4681-a921-442e1f8378f1,control,<built-in method date of Timestamp object at 0x7fc33927b750>,6,Apple,101,5,1
56a03982-6278-4083-9554-3a069dbc22c8,control,<built-in method date of Timestamp object at 0x7fc33927a0c0>,20,Samsung,162,6,1
2711e2f3-a624-4243-800e-693a888bc394,control,<built-in method date of Timestamp object at 0x7fc339277408>,3,Samsung,162,6,1
822e43cb-47a4-4101-90bb-02e7e1c2f576,control,<built-in method date of Timestamp object at 0x7fc339276a20>,15,Apple,101,7,1
e5ca3951-25c6-4a70-ae24-67bd86ef8ec1,control,<built-in method date of Timestamp object at 0x7fc3392757c8>,6,Apple,101,6,1
1f05a027-639e-410f-9c33-77713cf266b0,control,<built-in method date of Timestamp object at 0x7fc339275c00>,1,Apple,101,6,1
b7701191-80f7-4a1e-8e0d-635c5e6101d4,control,<built-in method date of Timestamp object at 0x7fc339274b88>,9,Samsung,101,6,1
374889ca-37f6-4bd5-9bf2-f91dbade671b,control,<built-in method date of Timestamp object at 0x7fc339272f48>,16,Motorola,162,15,1
c5d48ba7-a735-4d70-94a8-bb7637b6e486,control,<built-in method date of Timestamp object at 0x7fc33926d318>,6,Apple,101,7,1
26bcfa5e-25b9-4d58-a417-821e3955bbca,control,<built-in method date of Timestamp object at 0x7fc33926db10>,23,Samsung,162,6,1
1e591f28-58a6-42ca-9b3a-bf58b93a255c,control,<built-in method date of Timestamp object at 0x7fc33926b7c8>,4,Apple,101,7,1
e35886f1-6896-44ea-9daf-e76ddc201cb4,control,<built-in method date of Timestamp object at 0x7fc33926ac00>,20,Apple,101,6,1
d04534fd-b793-4ce4-88d7-a732b5ffd404,control,<built-in method date of Timestamp object at 0x7fc339269138>,1,Apple,101,7,1
cb4dac07-4874-4dca-a008-3d817a3c4be6,control,<built-in method date of Timestamp object at 0x7fc339269930>,2,Apple,173,7,1
fd11bc13-4ed9-4e67-9609-800abc158a03,control,<built-in method date of Timestamp object at 0x7fc339267a20>,18,Apple,101,7,1
905a275d-e36f-41d2-a938-45783d0284c2,control,<built-in method date of Timestamp object at 0x7fc3392654f8>,23,Samsung,162,6,1
4a13b2d7-7941-433a-a036-a2a9d81dbb4d,control,<built-in method date of Timestamp object at 0x7fc339261138>,4,Apple,101,15,1
3f3672d0-f555-4949-9d41-c24836d3cc22,control,<built-in method date of Timestamp object at 0x7fc339260750>,18,Samsung,162,6,1
1cc6ec5a-015e-466d-beae-4930b18e8ac4,control,<built-in method date of Timestamp object at 0x7fc33925fb10>,2,Motorola,155,15,1
cd6b2bb4-c2e6-46e9-96cc-d669bc25e424,control,<built-in method date of Timestamp object at 0x7fc33925e2a0>,2,Samsung,101,15,1
94f96a98-8033-4928-bf0b-33f920636633,control,<built-in method date of Timestamp object at 0x7fc33925e7c8>,1,Apple,101,15,1
ca6af509-3dd0-4bee-b294-5a15d0bb25b9,control,<built-in method date of Timestamp object at 0x7fc33925cb88>,7,Apple,101,7,1
7a6f3914-f47e-4a07-a7f8-e93201b70b88,control,<built-in method date of Timestamp object at 0x7fc339258138>,8,Samsung,162,6,1
e622db32-880f-4077-a1f9-3d7e0d290484,control,<built-in method date of Timestamp object at 0x7fc3392584f8>,2,Motorola,162,6,1
81061631-fb80-429b-ad95-d1467cb5230a,control,<built-in method date of Timestamp object at 0x7fc3392546d8>,14,Apple,101,15,1
2f87475f-3d0b-44e7-b644-65d596184a48,control,<built-in method date of Timestamp object at 0x7fc3392548b8>,3,Samsung,162,6,1
3721d24b-7aa6-49cc-8bd1-1961aeacd6c5,control,<built-in method date of Timestamp object at 0x7fc339254a20>,11,Samsung,162,6,1
b1f1e16c-87dc-4a76-a132-d4bfe559802c,control,<built-in method date of Timestamp object at 0x7fc339251a20>,17,Apple,101,6,1
bd7f1e8c-265c-417f-86da-8fce448cbc8b,control,<built-in method date of Timestamp object at 0x7fc339251a98>,12,Apple,101,7,1
a3868ee4-b56b-49c3-88d5-667924b3747f,control,<built-in method date of Timestamp object at 0x7fc3392501b0>,6,Apple,101,15,1
3d921559-c085-44f3-a0a5-2e42d759266f,control,<built-in method date of Timestamp object at 0x7fc3392506d8>,6,Apple,101,7,1
1d28292c-5711-41c2-8809-e13d965db67b,control,<built-in method date of Timestamp object at 0x7fc339250750>,14,Apple,101,6,1
d7f91971-30df-444b-90b8-1b38e33a5052,control,<built-in method date of Timestamp object at 0x7fc33924f408>,8,Apple,101,6,1
